mouse_gene_id	human_ortholog_id	disease_id	any_phenodigm_match	disease_phenotype
MGI:101770	HGNC:1040	OMIM:611391|ORPHA:98991	N	Y
MGI:101848	HGNC:4401	OMIM:617173|OMIM:617182|ORPHA:542306	N	Y
MGI:101850	HGNC:20080	OMIM:618513|ORPHA:65	N	Y
MGI:101875	HGNC:11795	OMIM:187950|ORPHA:329319|ORPHA:397692|ORPHA:71493	N	Y
MGI:101876	HGNC:11714	OMIM:108985|ORPHA:86813	N	Y
MGI:101938	HGNC:7127	OMIM:158320|OMIM:276300|OMIM:609310|ORPHA:144|ORPHA:252202|ORPHA:587	Y	Y
MGI:102462	HGNC:11071	OMIM:616291|ORPHA:448251	N	Y
MGI:102467	HGNC:9647	OMIM:613611|ORPHA:99141	Y	Y
MGI:102519	HGNC:2475	OMIM:105150|OMIM:611953|ORPHA:100008	N	Y
MGI:102556	HGNC:11603	OMIM:147891|OMIM:601360|ORPHA:1509|ORPHA:238578|ORPHA:261279|ORPHA:275777	Y	Y
MGI:102674	HGNC:12559	OMIM:162000|OMIM:603860|OMIM:609886|ORPHA:88950	Y	Y
MGI:102706	HGNC:3629	OMIM:618156	N	N
MGI:102717	HGNC:2400	OMIM:609741|ORPHA:98988|ORPHA:98991	N	Y
MGI:102759	HGNC:9475|HGNC:9483	OMIM:167800|OMIM:614044|ORPHA:64740|ORPHA:676	Y	Y
MGI:102774	HGNC:10648	OMIM:260600|ORPHA:280293|ORPHA:88616	Y	Y
MGI:102780	HGNC:10887	OMIM:605192|OMIM:608389|ORPHA:107|ORPHA:52429|ORPHA:90635	N	Y
MGI:102790	HGNC:14244	OMIM:614222|ORPHA:2510	Y	Y
MGI:102805	HGNC:3363	OMIM:615683|ORPHA:401810	N	Y
MGI:102809	HGNC:10537	OMIM:617709|ORPHA:88616	N	Y
MGI:102844	HGNC:7551	OMIM:115197|OMIM:615396|ORPHA:154|ORPHA:54260	Y	Y
MGI:102849	HGNC:6371	OMIM:612423|ORPHA:749	N	Y
MGI:102851	HGNC:6107	OMIM:125853|OMIM:260370|OMIM:606392|ORPHA:2805|ORPHA:552|ORPHA:99885	Y	Y
MGI:102949	HGNC:12765	OMIM:601705|ORPHA:169095	Y	Y
MGI:102959	HGNC:12472	OMIM:300860|ORPHA:163956	Y	Y
MGI:102966	HGNC:9591	OMIM:607277	N	N
MGI:103010	HGNC:3378	OMIM:614257|ORPHA:178469	N	Y
MGI:103022	HGNC:9957	OMIM:257320|OMIM:616436|ORPHA:101046|ORPHA:89844	N	Y
MGI:103060	HGNC:3153	OMIM:247100|ORPHA:530	N	Y
MGI:103063	HGNC:11362	OMIM:613796|OMIM:614162|OMIM:614892|ORPHA:319595|ORPHA:391311|ORPHA:391487	Y	Y
MGI:103077	HGNC:11438	ORPHA:2290	N	Y
MGI:103097	HGNC:19988	OMIM:618625|ORPHA:221008	Y	Y
MGI:103107	HGNC:3528	OMIM:227600|ORPHA:328	N	Y
MGI:103147	HGNC:2961	OMIM:158600|OMIM:614228|OMIM:614563|ORPHA:178469|ORPHA:209341|ORPHA:284232	N	Y
MGI:103149	HGNC:12513	OMIM:613643|OMIM:615491|ORPHA:2828|ORPHA:352654	Y	Y
MGI:103150	HGNC:10910	OMIM:601678|ORPHA:93604	Y	Y
MGI:103157	HGNC:2956	OMIM:152700|ORPHA:300345|ORPHA:536	Y	Y
MGI:103159	HGNC:1984	OMIM:607948|OMIM:611162|OMIM:614383	N	N
MGI:103177	HGNC:7225	OMIM:118200|OMIM:145900|OMIM:180800|OMIM:607677|OMIM:607736|OMIM:607791|OMIM:618184|ORPHA:100046|ORPHA:101082|ORPHA:3115|ORPHA:324585|ORPHA:538574|ORPHA:64748|ORPHA:99942|ORPHA:99943	Y	Y
MGI:103199	HGNC:6947	OMIM:609981|ORPHA:75391	Y	Y
MGI:103201	HGNC:633	OMIM:110450	N	N
MGI:103202	HGNC:291	OMIM:103050|ORPHA:46	N	Y
MGI:103221	HGNC:3036	OMIM:610476|ORPHA:293888|ORPHA:293899|ORPHA:293910	Y	Y
MGI:103253	HGNC:2571	OMIM:618182	Y	Y
MGI:103254	HGNC:10297	OMIM:608611|ORPHA:440706	Y	Y
MGI:103262	HGNC:16262	OMIM:120433|ORPHA:1473|ORPHA:157791	N	Y
MGI:103270	HGNC:11753	ORPHA:319308	N	N
MGI:103285	HGNC:853	OMIM:267300|ORPHA:402041	N	Y
MGI:103288	HGNC:20194	OMIM:248390|OMIM:616494|ORPHA:861|ORPHA:88637	Y	Y
MGI:103301	HGNC:1404	OMIM:607682|OMIM:613855|ORPHA:211067|ORPHA:307	N	Y
MGI:103556	HGNC:10672	OMIM:609423	N	N
MGI:103559	HGNC:11194	OMIM:137940|OMIM:607823|ORPHA:69735	N	Y
MGI:103569	HGNC:12811	OMIM:300842|ORPHA:59306	N	Y
MGI:103582	HGNC:3437	OMIM:278780|OMIM:616570|ORPHA:1466|ORPHA:220295|ORPHA:910	Y	Y
MGI:104510	HGNC:7606	OMIM:276900|OMIM:600060|OMIM:601317|ORPHA:231169|ORPHA:231178|ORPHA:90635|ORPHA:90636	Y	Y
MGI:104541	HGNC:4189	OMIM:231670|ORPHA:25	N	Y
MGI:104556	HGNC:1784	ORPHA:652	Y	Y
MGI:104564	HGNC:1786	OMIM:130650|OMIM:614732|ORPHA:231120|ORPHA:397590|ORPHA:436144|ORPHA:85173	Y	Y
MGI:104566	HGNC:3663	OMIM:305400|ORPHA:915	Y	Y
MGI:104579	HGNC:5971	OMIM:614891|ORPHA:186|ORPHA:319552	Y	Y
MGI:104581	HGNC:20731	OMIM:615185|ORPHA:352670	N	Y
MGI:104582	HGNC:24634	ORPHA:2440	Y	Y
MGI:104589	HGNC:145	OMIM:155310|ORPHA:104077|ORPHA:2241|ORPHA:2604	N	Y
MGI:104627	HGNC:1090	OMIM:614653|OMIM:615425|ORPHA:314381|ORPHA:412181	N	Y
MGI:104630	HGNC:12729	OMIM:617721	Y	Y
MGI:104637	HGNC:11774	ORPHA:231160	N	Y
MGI:104659	HGNC:2908	OMIM:618709|ORPHA:220386|ORPHA:280195|ORPHA:280200|ORPHA:93924|ORPHA:93925|ORPHA:93926	Y	Y
MGI:104661	HGNC:10258	OMIM:618060	N	Y
MGI:104663	HGNC:6553	OMIM:614962|ORPHA:66628	Y	Y
MGI:104667	HGNC:5012	OMIM:114480	N	Y
MGI:104670	HGNC:3721	OMIM:608516	N	N
MGI:104672	HGNC:11743	OMIM:169100|OMIM:617035|ORPHA:46627|ORPHA:466729	N	Y
MGI:104673	HGNC:9645	OMIM:114500	N	Y
MGI:104684	HGNC:3420	OMIM:615974|ORPHA:90636	N	Y
MGI:104685	HGNC:20670	OMIM:200110|OMIM:209885|OMIM:227260|ORPHA:1231|ORPHA:1807|ORPHA:920	Y	Y
MGI:104687	HGNC:2206	OMIM:141200|OMIM:203780|ORPHA:88918|ORPHA:88919	Y	Y
MGI:104688	HGNC:2204	OMIM:104200|OMIM:141200|OMIM:203780|ORPHA:656|ORPHA:88918|ORPHA:88919	Y	Y
MGI:104696	HGNC:10600	OMIM:177200|OMIM:211400|OMIM:264350|ORPHA:171876|ORPHA:526|ORPHA:60033	Y	Y
MGI:104709	HGNC:12738	OMIM:617639|ORPHA:90636	N	Y
MGI:104723	HGNC:3687	OMIM:612961|ORPHA:3237	Y	Y
MGI:104725	HGNC:3033	OMIM:125370|OMIM:618494|ORPHA:101	Y	Y
MGI:104738	HGNC:1787	OMIM:155601|OMIM:155755|OMIM:606719|ORPHA:1333|ORPHA:252206|ORPHA:404560|ORPHA:524|ORPHA:618|ORPHA:99860|ORPHA:99861	N	Y
MGI:104753	HGNC:29866	OMIM:618356	N	Y
